strasse;hausnummer;Latitude;Longitude
AACHENER GLACISS;1;50.93742;6.92992
AACHENER GLACISS;1-1A;50.93742;6.92962
AACHENER GLACISS;1A;50.93742;6.92962
AACHENER GLACISS;1 A;50.93742;6.92992
AACHENER GLACISS;20;50.94307;6.67562
AACHENER GLACISS;25-28;50.93989;6.93035
AACHENER GLACISS;429;50.93989;6.93035
AACHENER GLACISS;445-449;50.93989;6.93035
AACHENER GLACISS;451;50.93989;6.93035
AACHENER GLACISS;45-449;50.93989;6.93035
AACHENER GLACISS;5;50.93815;6.92713
AACHENER GLACISS;68;50.93438;6.57042
AACHENER GLACISS;9;50.93557;6.57573
AACHENER GLACISS;91;50.93422;6.57005
AACHENER GLACISS;;50.93989;6.93035
AACHENER STR.;04-506;50.93757;6.89264
AACHENER STR.;1002;50.93796;6.86256
AACHENER STR.;1011;50.93764;6.86448
AACHENER STR.;1013;50.93765;6.86416
AACHENER STR.;1017-1019;50.93765;6.86385
AACHENER STR.;1019A;50.93761;6.86199
AACHENER STR.;1019 A;50.93766;6.86369
AACHENER STR.;1021B;50.93762;6.86127
AACHENER STR.;1025;50.93766;6.85935
AACHENER STR.;1032;50.93817;6.85942
AACHENER STR.;1033;50.93768;6.85864
AACHENER STR.;1041;50.93769;6.85771
AACHENER STR.;1042;50.93964;6.85558
AACHENER STR.;1042A;50.94006;6.85493
AACHENER STR.;1044;50.93816;6.85516
AACHENER STR.;1054;50.93825;6.85357
AACHENER STR.;1057;50.9378;6.85333
AACHENER STR.;1065;50.93768;6.85074
AACHENER STR.;1091;50.93778;6.8482
AACHENER STR.;11;50.94188;6.67953
AACHENER STR.;112;50.94025;6.68286
AACHENER STR.;114;50.9342;6.56678
AACHENER STR.;1147;50.93804;6.84392
AACHENER STR.;1157;50.938;6.84304
AACHENER STR.;1169;50.93807;6.84213
AACHENER STR.;1184;50.93847;6.83842
AACHENER STR.;1184A;50.93848;6.83821
AACHENER STR.;1186;50.93847;6.83791
AACHENER STR.;1188;50.93858;6.83765
AACHENER STR.;1190;50.93848;6.83752
AACHENER STR.;1191;50.93804;6.84011
AACHENER STR.;1199;50.93809;6.83931
AACHENER STR.;12;50.93626;6.57702
AACHENER STR.;1203;50.93809;6.83906
AACHENER STR.;1203/1205;50.93809;6.83893
AACHENER STR.;1205;50.93809;6.83893
AACHENER STR.;1207;50.93809;6.83881
AACHENER STR.;1208;50.93858;6.83532
AACHENER STR.;1209;50.93807;6.83861
AACHENER STR.;1209A;50.93808;6.83842
AACHENER STR.;1230;50.93857;6.8327
AACHENER STR.;1230-1232;50.93857;6.8327
AACHENER STR.;1232;50.93858;6.83239
AACHENER STR.;1232/1234;50.93858;6.83214
AACHENER STR.;1234A;50.93859;6.83198
AACHENER STR.;1234 A;50.93858;6.83214
AACHENER STR.;1236;50.93858;6.8318
AACHENER STR.;1236-1238;50.93858;6.8318
AACHENER STR.;1236/1238;50.93859;6.83153
AACHENER STR.;1238;50.93859;6.83153
AACHENER STR.;1238-1240;50.93859;6.83153
AACHENER STR.;1238/1240;50.93859;6.83086
AACHENER STR.;1240;50.93859;6.83086
AACHENER STR.;1240-1248;50.93859;6.83086
AACHENER STR.;1242;50.93859;6.83086
AACHENER STR.;1242-1248;50.93859;6.83086
AACHENER STR.;1246;50.93864;6.83086
AACHENER STR.;1248;50.93864;6.83086
AACHENER STR.;1250;50.93848;6.83074
AACHENER STR.;1253;50.93802;6.83585
AACHENER STR.;1270;50.93848;6.8291
AACHENER STR.;1274;50.93859;6.82875
AACHENER STR.;1274-1276;50.93859;6.82875
AACHENER STR.;1276;50.9386;6.82856
AACHENER STR.;1278;50.9386;6.82838
AACHENER STR.;1280;50.93855;6.82811
AACHENER STR.;1283;50.93823;6.83044
AACHENER STR.;1285;50.93824;6.8303
AACHENER STR.;1287;50.93826;6.83018
AACHENER STR.;1289;50.93824;6.8301
AACHENER STR.;13;50.94173;6.67977
AACHENER STR.;130;50.93415;6.56565
AACHENER STR.;1312;50.93908;6.8257
AACHENER STR.;13-15;50.94173;6.67977
AACHENER STR.;1322;50.93861;6.82479
AACHENER STR.;1334;50.93863;6.82381
AACHENER STR.;1335;50.93833;6.82582
AACHENER STR.;1341;50.93831;6.82528
AACHENER STR.;1341/1343;50.93831;6.82517
AACHENER STR.;1343;50.93831;6.82517
AACHENER STR.;1345;50.93835;6.82498
AACHENER STR.;1347;50.93835;6.8248
AACHENER STR.;1349;50.93835;6.82469
AACHENER STR.;1349/1351;50.93835;6.82444
AACHENER STR.;1351;50.93835;6.82444
AACHENER STR.;1353;50.93836;6.82425
AACHENER STR.;1353-1355;50.93836;6.82425
AACHENER STR.;1353/1355;50.93836;6.82407
AACHENER STR.;1355;50.93836;6.82407
AACHENER STR.;1357;50.93837;6.82385
AACHENER STR.;1359;50.93837;6.82362
AACHENER STR.;1359/1361;50.93837;6.82347
AACHENER STR.;1360;50.93868;6.82185
AACHENER STR.;1361;50.93837;6.82347
AACHENER STR.;1363;50.93832;6.82318
AACHENER STR.;1364;50.93862;6.82157
AACHENER STR.;1370;50.93869;6.82154
AACHENER STR.;1375;50.93837;6.82234
AACHENER STR.;1377;50.93837;6.8221
AACHENER STR.;1383;50.93838;6.82172
AACHENER STR.;1387;50.93838;6.82152
AACHENER STR.;1393;50.93838;6.82099
AACHENER STR.;14;50.93627;6.57664
AACHENER STR.;1405;50.9384;6.82038
AACHENER STR.;14-16;50.93627;6.57664
AACHENER STR.;144;50.93409;6.56471
AACHENER STR.;15;50.94166;6.67987
AACHENER STR.;15-17;50.94166;6.67987
AACHENER STR.;15/17;50.93542;6.57529
AACHENER STR.;16;50.93611;6.57618
AACHENER STR.;16-18;50.93611;6.57618
AACHENER STR.;1644;50.93545;6.57496
AACHENER STR.;17;50.93542;6.57529
AACHENER STR.;1708;50.93545;6.57496
AACHENER STR.;18;50.93613;6.57627
AACHENER STR.;18-20;50.93613;6.57627
AACHENER STR.;186;50.93393;6.56036
AACHENER STR.;19;50.93539;6.57518
AACHENER STR.;197-199;50.93388;6.56346
AACHENER STR.;2;50.93861;6.58476
AACHENER STR.;20;50.94307;6.67562
AACHENER STR.;201;50.93387;6.56311
AACHENER STR.;20-22;50.94307;6.67562
AACHENER STR.;21;50.93535;6.57506
AACHENER STR.;217;50.93637;6.69963
AACHENER STR.;219-221;50.93365;6.56008
AACHENER STR.;22;50.93602;6.57569
AACHENER STR.;220;50.93823;6.68919
AACHENER STR.;221;50.93365;6.55986
AACHENER STR.;222;50.93822;6.6894
AACHENER STR.;222-226;50.93822;6.6894
AACHENER STR.;22-24;50.93602;6.57569
AACHENER STR.;223;50.93364;6.55972
AACHENER STR.;226;50.93813;6.68965
AACHENER STR.;227;50.93375;6.55968
AACHENER STR.;229;50.93361;6.55874
AACHENER STR.;23;50.93532;6.57495
AACHENER STR.;231;50.93335;6.55636
AACHENER STR.;232;50.93798;6.69011
AACHENER STR.;233;50.93292;6.55637
AACHENER STR.;236-238;50.93791;6.69034
AACHENER STR.;236/238;50.93787;6.69047
AACHENER STR.;237;50.93649;6.9201
AACHENER STR.;239;50.93298;6.55533
AACHENER STR.;24;50.94293;6.67604
AACHENER STR.;2-4;50.93861;6.58476
AACHENER STR.;240;50.93785;6.69053
AACHENER STR.;240-244;50.93785;6.69053
AACHENER STR.;240/244;50.93777;6.69079
AACHENER STR.;241;50.93312;6.55511
AACHENER STR.;24-26;50.94293;6.67604
AACHENER STR.;243;50.93339;6.55497
AACHENER STR.;246;50.93772;6.69094
AACHENER STR.;248;50.93769;6.69105
AACHENER STR.;249;50.93651;6.91909
AACHENER STR.;25;50.93528;6.57484
AACHENER STR.;250;50.93764;6.69119
AACHENER STR.;251;50.93651;6.91893
AACHENER STR.;25-27;50.93528;6.57484
AACHENER STR.;253;50.93651;6.91883
AACHENER STR.;255;50.93651;6.91872
AACHENER STR.;259;50.93652;6.91821
AACHENER STR.;26;50.93573;6.57546
AACHENER STR.;261;50.93652;6.91795
AACHENER STR.;26-28;50.93573;6.57546
AACHENER STR.;27;50.93526;6.57474
AACHENER STR.;28;50.94285;6.67642
AACHENER STR.;283;50.93545;6.57496
AACHENER STR.;28-30;50.94285;6.67642
AACHENER STR.;28/30;50.94279;6.67674
AACHENER STR.;287-289;50.93653;6.917
AACHENER STR.;289;50.93653;6.91694
AACHENER STR.;29;50.93522;6.57464
AACHENER STR.;291;50.93655;6.91643
AACHENER STR.;291-297;50.93655;6.91643
AACHENER STR.;3;50.93542;6.57616
AACHENER STR.;30;50.94279;6.67674
AACHENER STR.;300;50.93741;6.90738
AACHENER STR.;30-32;50.94279;6.67674
AACHENER STR.;30/32;50.93528;6.57411
AACHENER STR.;306;50.93618;6.69796
AACHENER STR.;307 A;50.93657;6.91587
AACHENER STR.;308;50.93614;6.69885
AACHENER STR.;309;50.93659;6.91528
AACHENER STR.;31;50.94096;6.68135
AACHENER STR.;310;50.93611;6.69922
AACHENER STR.;310-312;50.93611;6.69922
AACHENER STR.;311;50.9366;6.91476
AACHENER STR.;312;50.93613;6.6993
AACHENER STR.;313;50.93661;6.91446
AACHENER STR.;31-319;50.94096;6.68135
AACHENER STR.;31-33;50.94096;6.68135
AACHENER STR.;315;50.93662;6.91422
AACHENER STR.;315-317;50.93662;6.91422
AACHENER STR.;315-319;50.93662;6.91422
AACHENER STR.;317;50.93662;6.91404
AACHENER STR.;317-319;50.93662;6.91404
AACHENER STR.;317/319;50.93663;6.91393
AACHENER STR.;318;50.93619;6.6996
AACHENER STR.;319;50.93663;6.91393
AACHENER STR.;319-321;50.93663;6.91393
AACHENER STR.;32;50.93528;6.57411
AACHENER STR.;321;50.93663;6.91379
AACHENER STR.;321-323;50.93663;6.91379
AACHENER STR.;323;50.93664;6.91361
AACHENER STR.;323-325;50.93664;6.91361
AACHENER STR.;32-34;50.93528;6.57411
AACHENER STR.;325;50.93663;6.91347
AACHENER STR.;326;50.93731;6.90444
AACHENER STR.;326-328;50.93731;6.90444
AACHENER STR.;327;50.93665;6.91317
AACHENER STR.;328;50.93731;6.90444
AACHENER STR.;329;50.93668;6.91235
AACHENER STR.;33;50.93512;6.57446
AACHENER STR.;331;50.93668;6.91212
AACHENER STR.;333;50.93668;6.91187
AACHENER STR.;33-35;50.93512;6.57446
AACHENER STR.;335;50.9367;6.9116
AACHENER STR.;336;50.93731;6.90406
AACHENER STR.;338;50.93737;6.90378
AACHENER STR.;34;50.93519;6.57381
AACHENER STR.;340-346;50.93733;6.90322
AACHENER STR.;345;50.93545;6.57496
AACHENER STR.;35;50.93504;6.57425
AACHENER STR.;3-5;50.93542;6.57616
AACHENER STR.;352;50.93734;6.90262
AACHENER STR.;35-37;50.94061;6.68227
AACHENER STR.;354;50.93735;6.90249
AACHENER STR.;354-356;50.93735;6.90249
AACHENER STR.;354/356;50.93735;6.90249
AACHENER STR.;358-360;50.93736;6.90223
AACHENER STR.;36;50.94259;6.67745
AACHENER STR.;362;50.93736;6.90209
AACHENER STR.;362-364;50.93736;6.90209
AACHENER STR.;364;50.93737;6.90183
AACHENER STR.;364-370;50.93737;6.90183
AACHENER STR.;37;50.93491;6.57387
AACHENER STR.;37-39;50.93491;6.57387
AACHENER STR.;376;50.93738;6.9014
AACHENER STR.;38;50.93513;6.57331
AACHENER STR.;389;50.93545;6.57496
AACHENER STR.;39;50.9408;6.68195
AACHENER STR.;396;50.93743;6.89941
AACHENER STR.;396-398;50.93743;6.89941
AACHENER STR.;398;50.93744;6.89915
AACHENER STR.;399;50.93672;6.91092
AACHENER STR.;4;50.93706;6.57787
AACHENER STR.;400;50.93744;6.89889
AACHENER STR.;401;50.93673;6.91052
AACHENER STR.;401-403;50.93673;6.91052
AACHENER STR.;402;50.93745;6.8982
AACHENER STR.;402-404;50.93745;6.8982
AACHENER STR.;402-412;50.93745;6.8982
AACHENER STR.;403;50.93674;6.91027
AACHENER STR.;403A;50.93655;6.90974
AACHENER STR.;404;50.93746;6.89801
AACHENER STR.; 40-44;50.93501;6.57324
AACHENER STR.;40-44;50.93501;6.57324
AACHENER STR.;405;50.93675;6.90984
AACHENER STR.;406;50.93746;6.89781
AACHENER STR.;406-408;50.93746;6.89781
AACHENER STR.;407;50.93676;6.90953
AACHENER STR.;408;50.93746;6.89761
AACHENER STR.;408-410;50.93746;6.89761
AACHENER STR.;409;50.93677;6.90924
AACHENER STR.;409-411;50.93677;6.90924
AACHENER STR.;41;50.93474;6.5733
AACHENER STR.;410;50.93747;6.89741
AACHENER STR.;410-412;50.93747;6.89741
AACHENER STR.;412;50.93747;6.89725
AACHENER STR.;413;50.93678;6.90887
AACHENER STR.;415;50.93683;6.90743
AACHENER STR.;417;50.93683;6.90717
AACHENER STR.;419;50.93683;6.90703
AACHENER STR.;42;50.93505;6.57291
AACHENER STR.;421;50.93683;6.90683
AACHENER STR.;423;50.93684;6.90659
AACHENER STR.;423A;50.93684;6.90659
AACHENER STR.;423 A;50.93684;6.90659
AACHENER STR.;425;50.93684;6.90639
AACHENER STR.;427;50.93684;6.90623
AACHENER STR.;429;50.93685;6.90602
AACHENER STR.;43;50.94071;6.68217
AACHENER STR.;431;50.93685;6.90577
AACHENER STR.;436;50.93545;6.57496
AACHENER STR.;443-449;50.93685;6.90557
AACHENER STR.;444;50.93748;6.89674
AACHENER STR.;444-449;50.93748;6.89674
AACHENER STR.;445;50.93685;6.90497
AACHENER STR.;445-447;50.93685;6.90497
AACHENER STR.;445-449;50.93685;6.90497
AACHENER STR.;445--449;50.93685;6.90497
AACHENER STR.;445+449;50.93685;6.90497
AACHENER STR.;446;50.93749;6.89651
AACHENER STR.;446-449;50.93749;6.89651
AACHENER STR.;448;50.93749;6.89633
AACHENER STR.;448-450;50.93749;6.89633
AACHENER STR.;449;50.93687;6.9042
AACHENER STR.;449-451;50.93687;6.9042
AACHENER STR.;450;50.93749;6.89604
AACHENER STR.;4501-449;50.93687;6.9042
AACHENER STR.;450-452;50.93749;6.89604
AACHENER STR.;451;50.93687;6.90404
AACHENER STR.;451-449;50.93687;6.90404
AACHENER STR.;452;50.9375;6.89575
AACHENER STR.;452-454;50.9375;6.89575
AACHENER STR.;454;50.93751;6.89547
AACHENER STR.;454-456;50.93751;6.89547
AACHENER STR.;45-449;50.94067;6.68232
AACHENER STR.;455;50.93688;6.90324
AACHENER STR.;455-457;50.93688;6.90324
AACHENER STR.;456;50.93751;6.89513
AACHENER STR.;457;50.9369;6.90298
AACHENER STR.;457-483;50.9369;6.90298
AACHENER STR.;458;50.93754;6.89431
AACHENER STR.;46;50.93484;6.57271
AACHENER STR.;4-6;50.93706;6.57787
AACHENER STR.;4/6;50.94489;6.67001
AACHENER STR.;460;50.93754;6.89364
AACHENER STR.;461;50.93545;6.57496
AACHENER STR.;46-48;50.93484;6.57271
AACHENER STR.;47-49;50.93456;6.57252
AACHENER STR.;47-51;50.93456;6.57252
AACHENER STR.;479-501;50.93695;6.90098
AACHENER STR.;48;50.93477;6.57249
AACHENER STR.;483;50.9369;6.90269
AACHENER STR.;485;50.93691;6.90244
AACHENER STR.;48-50;50.93477;6.57249
AACHENER STR.;486;50.93545;6.57496
AACHENER STR.;487;50.93692;6.9021
AACHENER STR.;487-489;50.93692;6.9021
AACHENER STR.;489;50.93693;6.90187
AACHENER STR.;489-491;50.93693;6.90187
AACHENER STR.;49;50.93436;6.57224
AACHENER STR.;491;50.93694;6.90168
AACHENER STR.;491-501;50.93694;6.90168
AACHENER STR.;493;50.93694;6.90146
AACHENER STR.;495;50.93694;6.90128
AACHENER STR.;49-51;50.93436;6.57224
AACHENER STR.;495-497;50.93694;6.90128
AACHENER STR.;497-501;50.93695;6.90098
AACHENER STR.;5;50.93556;6.57616
AACHENER STR.;50;50.9423;6.67824
AACHENER STR.;500;50.93759;6.89329
AACHENER STR.;501;50.93695;6.90098
AACHENER STR.;503;50.93698;6.90013
AACHENER STR.;503-505;50.93698;6.90013
AACHENER STR.;504-505;50.93757;6.89264
AACHENER STR.;504-506;50.93757;6.89264
AACHENER STR.;504/506;50.93757;6.89264
AACHENER STR.;505;50.93698;6.89989
AACHENER STR.;50-52;50.9423;6.67824
AACHENER STR.;508;50.93758;6.89248
AACHENER STR.;508-510;50.93758;6.89248
AACHENER STR.;509;50.93699;6.89965
AACHENER STR.;509-511;50.93699;6.89965
AACHENER STR.;509/511;50.93699;6.89956
AACHENER STR.;51;50.94053;6.68273
AACHENER STR.;510;50.93758;6.89236
AACHENER STR.;511;50.93699;6.89956
AACHENER STR.;511-509;50.93699;6.89956
AACHENER STR.;512;50.93758;6.89222
AACHENER STR.;513;50.93699;6.89947
AACHENER STR.;514;50.9376;6.89181
AACHENER STR.;514-520;50.9376;6.89181
AACHENER STR.;515;50.93699;6.89937
AACHENER STR.;515-515A;50.93699;6.89931
AACHENER STR.;515/515A;50.93699;6.89937
AACHENER STR.;517;50.937;6.89917
AACHENER STR.;519;50.937;6.89903
AACHENER STR.;52;50.93453;6.57178
AACHENER STR.;522;50.93761;6.89148
AACHENER STR.;523;50.937;6.89888
AACHENER STR.;524-528;50.93765;6.89116
AACHENER STR.;525;50.93701;6.89861
AACHENER STR.;527;50.93701;6.89835
AACHENER STR.;527A;50.93701;6.89825
AACHENER STR.;528;50.93765;6.89116
AACHENER STR.;529-53;50.93702;6.89805
AACHENER STR.;529-531;50.93702;6.89805
AACHENER STR.;529-533;50.93702;6.89805
AACHENER STR.;529--533;50.93702;6.89805
AACHENER STR.;53;50.93435;6.5719
AACHENER STR.;532;50.93545;6.57496
AACHENER STR.;534;50.93766;6.88982
AACHENER STR.;535;50.93702;6.89781
AACHENER STR.;53-55;50.93435;6.5719
AACHENER STR.;535-537;50.93702;6.89781
AACHENER STR.;536;50.93767;6.88972
AACHENER STR.;537;50.93703;6.89765
AACHENER STR.;537-535;50.93703;6.89765
AACHENER STR.;537-539;50.93703;6.89765
AACHENER STR.;538;50.93767;6.88963
AACHENER STR.;539;50.93703;6.89754
AACHENER STR.;539-537;50.93703;6.89754
AACHENER STR.;539/541;50.93703;6.89737
AACHENER STR.;54;50.9422;6.67854
AACHENER STR.;540;50.93767;6.88954
AACHENER STR.;541-543;50.93703;6.89737
AACHENER STR.;542;50.93767;6.88943
AACHENER STR.;5443;50.93545;6.57496
AACHENER STR.;5-449;50.93556;6.57616
AACHENER STR.;545;50.93703;6.89721
AACHENER STR.;545-547;50.93703;6.89721
AACHENER STR.;545-549;50.93703;6.89721
AACHENER STR.;547;50.93704;6.89711
AACHENER STR.;549;50.93704;6.89694
AACHENER STR.;549-547;50.93704;6.89694
AACHENER STR.;55;50.94045;6.683
AACHENER STR.;553;50.93545;6.57496
AACHENER STR.;555;50.93705;6.89635
AACHENER STR.;555-557;50.93705;6.89635
AACHENER STR.;555/557;50.93705;6.89635
AACHENER STR.;555-557A/B;50.93393;6.56267
AACHENER STR.;555-559;50.93705;6.89635
AACHENER STR.;55-557;50.94045;6.683
AACHENER STR.;557;50.93705;6.89635
AACHENER STR.;557-559;50.93705;6.89635
AACHENER STR.;557 A-B;50.93705;6.89635
AACHENER STR.;557 A/B;50.93705;6.89635
AACHENER STR.;557A-B;50.93706;6.89608
AACHENER STR.;557A/B;50.93393;6.56267
AACHENER STR.;557Ä/B;50.93393;6.56267
AACHENER STR.;559;50.93706;6.89572
AACHENER STR.;56;50.93447;6.57149
AACHENER STR.;561;50.93707;6.89544
AACHENER STR.;561-559;50.93707;6.89544
AACHENER STR.;562-565;50.93766;6.8872
AACHENER STR.;563-565;50.93707;6.89509
AACHENER STR.;56-58;50.93447;6.57149
AACHENER STR.;567;50.93709;6.89461
AACHENER STR.;56-72;50.93447;6.57149
AACHENER STR.;568;50.93766;6.88699
AACHENER STR.;569;50.9371;6.89384
AACHENER STR.;57;50.94038;6.68323
AACHENER STR.;5-7;50.93556;6.57616
AACHENER STR.;578;50.93776;6.88845
AACHENER STR.;57A/B;50.93393;6.56267
AACHENER STR.;58;50.94207;6.67875
AACHENER STR.;580;50.93777;6.88827
AACHENER STR.;582;50.93778;6.88805
AACHENER STR.;58-60;50.94207;6.67875
AACHENER STR.;58-62;50.94207;6.67875
AACHENER STR.;588;50.9378;6.88729
AACHENER STR.;590;50.93781;6.88706
AACHENER STR.;592;50.93781;6.8868
AACHENER STR.;594;50.93782;6.88655
AACHENER STR.;596;50.93783;6.88631
AACHENER STR.;6;50.94489;6.67001
AACHENER STR.;605;50.93708;6.89313
AACHENER STR.;60-62;50.93446;6.57121
AACHENER STR.;60-64;50.93446;6.57121
AACHENER STR.;607;50.93708;6.89293
AACHENER STR.;608A;50.93786;6.88466
AACHENER STR.;609;50.93709;6.89282
AACHENER STR.;61;50.93433;6.57149
AACHENER STR.;611;50.93709;6.89251
AACHENER STR.;61-63;50.93433;6.57149
AACHENER STR.;62;50.93446;6.57132
AACHENER STR.;621;50.93711;6.89158
AACHENER STR.;623;50.93712;6.89111
AACHENER STR.;625;50.93714;6.89056
AACHENER STR.;628;50.93545;6.57496
AACHENER STR.;629;50.93716;6.88985
AACHENER STR.;63-65;50.94026;6.68362
AACHENER STR.;637;50.93723;6.88815
AACHENER STR.;639;50.93724;6.88802
AACHENER STR.;64;50.9344;6.57079
AACHENER STR.;643;50.93721;6.88775
AACHENER STR.;645;50.93723;6.88762
AACHENER STR.;64-66;50.9344;6.57079
AACHENER STR.;64/66;50.93439;6.57061
AACHENER STR.;647;50.93723;6.88734
AACHENER STR.;65;50.94023;6.6837
AACHENER STR.;657;50.93725;6.88679
AACHENER STR.;66;50.93439;6.57061
AACHENER STR.;661;50.93725;6.88654
AACHENER STR.;66-68;50.93439;6.57061
AACHENER STR.;669;50.93727;6.88601
AACHENER STR.;67;50.93431;6.57129
AACHENER STR.;675;50.9373;6.88551
AACHENER STR.;67-69;50.93431;6.57129
AACHENER STR.;68;50.93438;6.57042
AACHENER STR.;6-8;50.94489;6.67001
AACHENER STR.;68/66;50.93439;6.57061
AACHENER STR.;687;50.93732;6.8844
AACHENER STR.;68-70;50.93438;6.57042
AACHENER STR.;68/70;50.93439;6.57051
AACHENER STR.;689;50.93732;6.88426
AACHENER STR.;698;50.93794;6.88263
AACHENER STR.;7;50.93559;6.57581
AACHENER STR.;70;50.93439;6.57051
AACHENER STR.;70-72;50.93439;6.57051
AACHENER STR.;71;50.93428;6.57103
AACHENER STR.;72;50.94122;6.68007
AACHENER STR.;752;50.93812;6.8778
AACHENER STR.;75A;50.94005;6.68437
AACHENER STR.;76;50.94113;6.68021
AACHENER STR.;77-80;50.94002;6.68446
AACHENER STR.;78-80;50.9344;6.56963
AACHENER STR.;82;50.94088;6.68043
AACHENER STR.;82-84;50.94088;6.68043
AACHENER STR.;87;50.93978;6.68514
AACHENER STR.;9;50.93557;6.57573
AACHENER STR.;90;50.94079;6.68114
AACHENER STR.;90-98;50.94079;6.68114
AACHENER STR.;91;50.93422;6.57005
AACHENER STR.;92-98;50.94076;6.68125
AACHENER STR.;960;50.93812;6.86382
AACHENER STR.;966;50.93813;6.8634
AACHENER STR.;968;50.93813;6.86326
AACHENER STR.;970;50.93812;6.86313
AACHENER STR.;97-501;50.93421;6.56975
AACHENER STR.;;50.93545;6.57496
AACHENER STR. PO;2A;50.93861;6.58476
AACHENER STR. PO;;50.93545;6.57496
AACHENER STR. P+R WEIDEN;623;50.93824;6.83328
AACHENER STR. P+R WEIDEN;625;50.93824;6.83328
AACHENER STR. P+R WEIDEN;;50.93824;6.83328
AACHENER STR. P+R WEIDEN WEST;;50.93824;6.83328
AARESTR.;37;50.98189;6.99679
AARESTR.;82;50.98189;6.99679
AARESTR.;;50.98189;6.99679
ABENDROTHSTR.;11;51.02055;6.90246
ABENDROTHSTR.;2;51.02082;6.90275
ABENDROTHSTR.;20;51.0208;6.902
ABENDROTHSTR.;5;51.02115;6.90367
ABENDROTHSTR.;7;51.02075;6.90308
ABENDROTHSTR.;8-10;51.02082;6.90275
ABENDROTHSTR.;;51.02082;6.90275
ABSHOFSTR.;1;50.95143;7.04942
ABSHOFSTR.;35;50.95156;7.04656
ABSHOFSTR.;4;50.95172;7.0492
ABSHOFSTR.;41;50.95165;7.04572
ABSHOFSTR.;43;50.95167;7.04563
ABSHOFSTR.;53;50.95176;7.04518
ABSHOFSTR.;55;50.95175;7.04496
ABSHOFSTR.;72;50.95207;7.04359
ABSHOFSTR.;84;50.95146;7.04293
ABSHOFSTR.;;50.95174;7.04623
ABT-HERWEGEN-STR.;17;50.9202;6.89831
ABT-HERWEGEN-STR.;4;50.92098;6.8978
ABT-HERWEGEN-STR.;;50.92102;6.89796
ABTSWEG;3-5;50.85938;7.0335
ACHTERGÄSSCHEN;137;50.92586;6.95893
ACHTERGÄSSCHEN;148;50.92586;6.95893
ACHTERGÄSSCHEN;22;50.92586;6.95893
ACHTERGÄSSCHEN;2A-4;50.92576;6.95853
ACHTERGÄSSCHEN;;50.92586;6.95893
ACHTERSTR.;1;50.92493;6.95916
ACHTERSTR.;10;50.9254;6.95915
ACHTERSTR.;108;50.92667;6.95871
ACHTERSTR.;1-3;50.92493;6.95916
ACHTERSTR.;1-5;50.92493;6.95916
ACHTERSTR.;17-19;50.92569;6.95887
ACHTERSTR.;19A;50.92569;6.95887
ACHTERSTR.;2;50.92495;6.95935
ACHTERSTR.;20;50.92554;6.9591
ACHTERSTR.;20-22;50.92554;6.9591
ACHTERSTR.;20-52;50.92554;6.9591
ACHTERSTR.;21;50.92577;6.95883
ACHTERSTR.;22;50.92563;6.95907
ACHTERSTR.;24-26;50.9257;6.95905
ACHTERSTR.;27-33;50.92591;6.95884
ACHTERSTR.;3;50.92498;6.95914
ACHTERSTR.;30;50.92598;6.95898
ACHTERSTR.;3-5;50.92498;6.95914
ACHTERSTR.;4;50.92504;6.9593
ACHTERSTR.;42;50.92656;6.95884
ACHTERSTR.;44;50.92685;6.95875
ACHTERSTR.;45;50.92681;6.95859
ACHTERSTR.;4-6;50.92504;6.9593
ACHTERSTR.;46-48;50.927;6.95876
ACHTERSTR.;47;50.92688;6.95858
ACHTERSTR.;49;50.92695;6.95857
ACHTERSTR.;49-51;50.92695;6.95857
ACHTERSTR.;5;50.92502;6.95912
ACHTERSTR.;50;50.92715;6.95881
ACHTERSTR.;50-52;50.92715;6.95881
ACHTERSTR.;52;50.92735;6.95878
ACHTERSTR.;52-54;50.92735;6.95878
ACHTERSTR.;53;50.92701;6.95856
ACHTERSTR.;54;50.92751;6.95877
ACHTERSTR.;56;50.92758;6.9587
ACHTERSTR.;57;50.92709;6.95855
ACHTERSTR.;5-7;50.92502;6.95912
ACHTERSTR.;57-59;50.92709;6.95855
ACHTERSTR.;59;50.92715;6.95855
ACHTERSTR.;6;50.92512;6.95926
ACHTERSTR.;62;50.92787;6.95866
ACHTERSTR.;64;50.92803;6.95862
ACHTERSTR.;64-66;50.92803;6.95862
ACHTERSTR.;66;50.92817;6.95858
ACHTERSTR.;68;50.92832;6.95858
ACHTERSTR.;7;50.92507;6.95909
ACHTERSTR.;71;50.92766;6.95836
ACHTERSTR.;73;50.9278;6.95833
ACHTERSTR.;75;50.92795;6.9583
ACHTERSTR.;7A;50.92512;6.95907
ACHTERSTR.;7A-7B;50.92516;6.95906
ACHTERSTR.;8;50.92526;6.95921
ACHTERSTR.;83;50.92839;6.95817
ACHTERSTR.;9;50.92524;6.95902
ACHTERSTR.;AN DER EICHEL 7A;50.92452;6.95942
ACHTERSTR.;AN DER EICHEL 9;47.90304;10.15628
ACHTERSTR.;;50.92667;6.95871
ACKERHUMMELWEG;24;50.87617;7.00973
ACKERSTR.;10;50.95532;7.01259
ACKERSTR.;104;50.96057;7.01723
ACKERSTR.;106-108;50.96066;7.01752
ACKERSTR.;108;50.96079;7.01755
ACKERSTR.;110;50.96092;7.01758
ACKERSTR.;114;50.9612;7.01784
